emp_no,first_name,last_name,birth_date,from_date,to_date,title
10095,Hilari,Morton,1965-01-03,1994-03-10,9999-01-01,Senior Staff
10476,Kokou,Iisaka,1965-01-01,1987-09-20,9999-01-01,Senior Staff
10663,Teunis,Noriega,1965-01-09,1999-02-12,9999-01-01,Technique Leader
12408,Rasiah,Sudkamp,1965-01-10,1995-04-18,9999-01-01,Senior Engineer
14075,Denny,Tchuente,1965-01-03,1991-05-30,9999-01-01,Assistant Engineer
14104,Sudhanshu,Demian,1965-01-03,1994-07-23,9999-01-01,Senior Staff
14127,Magdalena,Cannard,1965-01-10,1994-04-22,9999-01-01,Engineer
17206,Berry,DeMori,1965-01-02,1992-12-27,9999-01-01,Engineer
17447,Zengping,Boreale,1965-01-11,1998-12-16,9999-01-01,Staff
17970,Filipp,Carrere,1965-01-06,1989-01-09,9999-01-01,Technique Leader
18021,Adil,Matzke,1965-01-07,1987-05-08,9999-01-01,Engineer
18583,Stafford,Honglei,1965-01-03,1998-08-16,9999-01-01,Staff
18810,Taiji,Jarecki,1965-01-09,1991-06-27,9999-01-01,Engineer
20129,Rafael,Skafidas,1965-01-10,1991-03-28,9999-01-01,Engineer
20248,Vidar,Demri,1965-01-12,1999-12-31,9999-01-01,Staff
21546,Yongmin,Lanteri,1965-01-01,2002-03-19,9999-01-01,Senior Staff
21843,Karsten,Azadmanesh,1965-01-09,1985-11-29,9999-01-01,Senior Engineer
21909,Mohammed,Brizzi,1965-01-04,1991-12-28,9999-01-01,Senior Staff
22455,Barry,Unno,1965-01-06,1990-11-16,9999-01-01,Senior Staff
22926,Manibrata,Genther,1965-01-01,1988-01-15,9999-01-01,Engineer
23396,Hilari,Fairtlough,1965-01-02,1986-12-15,9999-01-01,Technique Leader
24394,Zhonghui,Conta,1965-01-04,1994-09-10,9999-01-01,Staff
24553,Anwar,Passafiume,1965-01-12,1987-01-30,9999-01-01,Senior Staff
28974,Chenxi,Sundgren,1965-01-09,1986-09-02,9999-01-01,Senior Engineer
29130,Xumin,Thorensen,1965-01-06,1998-04-26,9999-01-01,Staff
30035,Tetsushi,Conta,1965-01-08,1995-07-04,9999-01-01,Senior Staff
30484,Sailaja,Chvatal,1965-01-11,1999-05-18,9999-01-01,Staff
30695,Gudjon,Majewski,1965-01-08,1999-10-26,9999-01-01,Senior Engineer
30938,Yakkov,Samarati,1965-01-06,1997-10-10,9999-01-01,Senior Staff
31147,Divine,Sidhu,1965-01-04,1989-07-05,9999-01-01,Senior Staff
31188,Leandro,Gist,1965-01-12,1993-02-03,9999-01-01,Technique Leader
31341,Oksana,Zultner,1965-01-01,1991-03-23,9999-01-01,Senior Staff
31568,Mark,Lalonde,1965-01-10,1996-11-24,9999-01-01,Staff
31909,Murthy,Peek,1965-01-10,2000-10-30,9999-01-01,Engineer
32347,Terresa,Peres,1965-01-08,1990-09-15,9999-01-01,Senior Staff
32649,Ingmar,Nannarelli,1965-01-12,1988-06-10,9999-01-01,Senior Staff
33025,Jessie,Thorelli,1965-01-12,1999-12-16,9999-01-01,Senior Staff
34077,Angel,Sichman,1965-01-08,1988-11-16,9999-01-01,Senior Staff
34261,Kyoichi,Callaway,1965-01-05,1990-12-30,9999-01-01,Senior Staff
34452,Naftaly,Foong,1965-01-08,1991-05-10,9999-01-01,Engineer
34533,Erzsebet,Shigei,1965-01-10,1995-01-16,9999-01-01,Senior Engineer
34936,Bokyung,Stamatiou,1965-01-12,1991-02-12,9999-01-01,Technique Leader
35044,Jiang,Waschkowski,1965-01-04,1989-05-27,9999-01-01,Engineer
35793,Oscar,Kusalik,1965-01-01,1991-05-11,9999-01-01,Senior Staff
36626,Fen,Genin,1965-01-02,1986-05-09,9999-01-01,Senior Staff
36733,Uma,Reinhard,1965-01-04,1997-11-01,9999-01-01,Staff
36844,Hailing,Levergood,1965-01-01,2000-01-12,9999-01-01,Staff
37945,Suzette,Butterworth,1965-01-02,1994-02-19,9999-01-01,Senior Engineer
38043,Michaela,Randi,1965-01-05,1985-11-23,9999-01-01,Engineer
38103,Masasuke,Babu,1965-01-12,1988-03-31,9999-01-01,Engineer
39000,Martijn,Vendrig,1965-01-08,1997-03-03,9999-01-01,Senior Staff
39036,Changho,Cappelli,1965-01-08,1996-05-04,9999-01-01,Staff
39301,Rimon,Kawashima,1965-01-07,1992-02-06,9999-01-01,Senior Staff
39341,Mahmut,Lampe,1965-01-01,1985-05-11,9999-01-01,Engineer
39952,Otmar,Sudbeck,1965-01-02,1998-07-22,9999-01-01,Staff
40269,Toshiki,Ghazalie,1965-01-10,1991-12-05,9999-01-01,Senior Staff
40283,Sudhanshu,Boissier,1965-01-07,1985-05-11,9999-01-01,Engineer
40765,Michaela,Ramsak,1965-01-01,1992-12-21,9999-01-01,Senior Staff
40773,Shimshon,Aingworth,1965-01-09,1986-04-13,9999-01-01,Senior Staff
41357,Willard,Vernadat,1965-01-06,1997-03-04,9999-01-01,Engineer
41518,Keung,Schapiro,1965-01-11,2001-02-08,9999-01-01,Senior Engineer
41609,Yucai,Simmen,1965-01-04,1987-10-13,9999-01-01,Senior Staff
42955,Yucel,Lortz,1965-01-12,1995-02-21,9999-01-01,Engineer
43848,Phillip,Oxenboll,1965-01-11,1999-05-26,9999-01-01,Engineer
44900,Mark,Schwaller,1965-01-05,1994-08-10,9999-01-01,Senior Staff
45162,Dulce,Speel,1965-01-11,1987-10-19,9999-01-01,Engineer
